2016-08-03 15:23:25 install kmod:armhf <none> 15-0ubuntu6
2016-08-03 15:23:25 status half-installed kmod:armhf 15-0ubuntu6
2016-08-03 15:23:25 status unpacked kmod:armhf 15-0ubuntu6
2016-08-03 15:23:25 status unpacked kmod:armhf 15-0ubuntu6
2016-08-03 15:23:25 install libacl1:armhf <none> 2.2.52-1
2016-08-03 15:23:25 status half-installed libacl1:armhf 2.2.52-1
2016-08-03 15:23:25 status unpacked libacl1:armhf 2.2.52-1
2016-08-03 15:23:25 status unpacked libacl1:armhf 2.2.52-1
2016-08-03 15:23:25 install libattr1:armhf <none> 1:2.4.47-1ubuntu1
2016-08-03 15:23:25 status half-installed libattr1:armhf 1:2.4.47-1ubuntu1
2016-08-03 15:23:25 status unpacked libattr1:armhf 1:2.4.47-1ubuntu1
2016-08-03 15:23:25 status unpacked libattr1:armhf 1:2.4.47-1ubuntu1
2016-08-03 15:23:25 install libaudit-common:all <none> 1:2.3.2-2ubuntu1
2016-08-03 15:23:25 status half-installed libaudit-common:all 1:2.3.2-2ubuntu1
2016-08-03 15:23:25 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2016-08-03 15:23:25 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2016-08-03 15:23:25 install libaudit1:armhf <none> 1:2.3.2-2ubuntu1
2016-08-03 15:23:25 status half-installed libaudit1:armhf 1:2.3.2-2ubuntu1
2016-08-03 15:23:25 status unpacked libaudit1:armhf 1:2.3.2-2ubuntu1
2016-08-03 15:23:25 status unpacked libaudit1:armhf 1:2.3.2-2ubuntu1
2016-08-03 15:23:25 install libblkid1:armhf <none> 2.20.1-5.1ubuntu20
2016-08-03 15:23:25 status half-installed libblkid1:armhf 2.20.1-5.1ubuntu20
2016-08-03 15:23:26 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu20
2016-08-03 15:23:26 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu20
2016-08-03 15:23:26 install libbz2-1.0:armhf <none> 1.0.6-5
2016-08-03 15:23:26 status half-installed libbz2-1.0:armhf 1.0.6-5
